my gene	prokka annotation	article gene	article prokka annotation	eggnog annotation
CBNIABCL_02514	 Thiol-disulfide oxidoreductase YkuV	LFTS_00175	 Thiol-disulfide isomerase or thioredoxin	PFAM NHL repeat
CBNIABCL_02513	 hypothetical protein	LFTS_00176	 Methyltransferase domain-containing protein	methyltransferase
CBNIABCL_02512	 tRNA (adenine(58)-N(1))-methyltransferase TrmI	LFTS_00177	 tRNA (adenine57-N1/adenine58-N1)-methyltransferase	Catalyzes the S-adenosyl-L-methionine-dependent formation of N(1)-methyladenine at position 58 (m1A58) in tRNA
CBNIABCL_02511	 hypothetical protein	LFTS_00178	 hypothetical protein	 Not found 
CBNIABCL_02510	 putative adenylyltransferase/sulfurtransferase MoeZ	LFTS_00179	 Rhodanese-related sulfurtransferase	Rhodanese Homology Domain
CBNIABCL_02509	 hypothetical protein	LFTS_00180	 hypothetical protein	
CBNIABCL_02508	 Molybdate-binding protein	LFTS_00181	 ABC-type molybdate transport system, substrate-binding protein	Bacterial extracellular solute-binding protein
CBNIABCL_02507	 hypothetical protein	LFTS_00182	 hypothetical protein	 Not found 
CBNIABCL_02506	 Methyl-accepting chemotaxis protein McpH	LFTS_00183	 methyl-accepting chemotaxis protein	Methyl-accepting chemotaxis-like domains (chemotaxis sensory transducer).
CBNIABCL_02505	 hypothetical protein	LFTS_00184	 peptidyl-prolyl cis-trans isomerase D	peptidyl-prolyl cis-trans isomerase activity
CBNIABCL_02504	 hypothetical protein	LFTS_00185	 hypothetical protein	 Not found 
CBNIABCL_02503	 hypothetical protein	LFTS_00186	 hypothetical protein	 Not found 
CBNIABCL_02502	 Aminomethyltransferase	LFTS_00187	 aminomethyltransferase	Aminomethyltransferase folate-binding domain
CBNIABCL_02500	 putative glycine dehydrogenase (decarboxylating) subunit 1	LFTS_00189	 glycine dehydrogenase subunit 1	oxidoreductase activity, acting on the CH-NH2 group of donors, disulfide as acceptor
CBNIABCL_02499	 putative glycine dehydrogenase (decarboxylating) subunit 2	LFTS_00190	 glycine dehydrogenase (decarboxylating) beta subunit	Glycine cleavage system P-protein
CBNIABCL_02498	 Octanoyltransferase LipM	LFTS_00191	 lipoate-protein ligase A	Lipoate-protein ligase
CBNIABCL_02497	 hypothetical protein	LFTS_00192	 hypothetical protein	 Not found 
CBNIABCL_02496	 hypothetical protein	LFTS_00193	 HDIG domain-containing protein	HDOD domain
CBNIABCL_02495	 hypothetical protein	LFTS_00194	 HDIG domain-containing protein	HDOD domain
CBNIABCL_02494	 Epoxyqueuosine reductase	LFTS_00195	 epoxyqueuosine reductase	Domain of unknown function (DUF1730)
CBNIABCL_02493	 Transcriptional regulatory protein ZraR	LFTS_00196	 sigma-54 specific transcriptional regulator, flagellar regulatory protein A	phosphorelay signal transduction system
CBNIABCL_02492	 hypothetical protein	LFTS_00197	 Tetratricopeptide repeat-containing protein	 Not found 
CBNIABCL_02491	 Sensor protein ZraS	LFTS_00198	 two-component system, sensor histidine kinase FlrB	phosphorelay sensor kinase activity
CBNIABCL_02490	 Transcriptional regulatory protein ZraR	LFTS_00199	 two-component system, response regulator FlrC	Bacterial regulatory protein, Fis family
CBNIABCL_02489	 Flagellar basal body rod protein FlgB	LFTS_00200	 flagellar basal-body rod protein FlgB	Structural component of flagellum, the bacterial motility apparatus. Part of the rod structure of flagellar basal body
CBNIABCL_02488	 Flagellar basal-body rod protein FlgC	LFTS_00201	 flagellar basal-body rod protein FlgC	Belongs to the flagella basal body rod proteins family
CBNIABCL_02487	 Flagellar hook-basal body complex protein FliE	LFTS_00202	 flagellar hook-basal body complex protein FliE	Flagellar hook-basal body complex protein FliE
CBNIABCL_02486	 Flagellar M-ring protein	LFTS_00203	 flagellar M-ring protein FliF	The M ring may be actively involved in energy transduction
CBNIABCL_02485	 Flagellar motor switch protein FliG	LFTS_00204	 flagellar motor switch protein FliG	FliG middle domain
CBNIABCL_02484	 hypothetical protein	LFTS_00205	 putative flagellar assembly protein	bacterial-type flagellum organization
CBNIABCL_02483	 putative ATP synthase YscN	LFTS_00206	 type III secretion system ATPase, FliI/YscN	ATP synthase alpha/beta family, beta-barrel domain
CBNIABCL_02482	 hypothetical protein	LFTS_00207	 flagellar export protein FliJ	 Not found 
CBNIABCL_02481	 hypothetical protein	LFTS_00208	 hypothetical protein	PFAM MgtE intracellular
CBNIABCL_02480	 hypothetical protein	LFTS_00209	 hook-length control protein FliK	bacterial-type flagellum assembly
CBNIABCL_02479	 Basal-body rod modification protein FlgD	LFTS_00210	 flagellar basal-body rod modification protein FlgD	flagellar hook
CBNIABCL_02478	 Flagellar hook protein FlgE	LFTS_00211	 flagellar hook protein FlgE	Flagellar basal body protein FlaE
CBNIABCL_02477	 Flagellar FliL protein	LFTS_00212	 flagellar FliL protein	Controls the rotational direction of flagella during chemotaxis
CBNIABCL_02476	 Flagellar motor switch protein FliN	LFTS_00213	 flagellar motor switch protein FliN/FliY	Type III flagellar switch regulator (C-ring) FliN C-term
CBNIABCL_02475	 hypothetical protein	LFTS_00214	 flagellar protein FliO/FliZ	flagellar
CBNIABCL_02474	 Flagellar biosynthetic protein FliP	LFTS_00215	 flagellar biosynthetic protein FliP	Plays a role in the flagellum-specific transport system
CBNIABCL_02473	 hypothetical protein	LFTS_00216	 flagellar biosynthetic protein FliQ	Role in flagellar biosynthesis
CBNIABCL_02472	 hypothetical protein	LFTS_00217	 flagellar biosynthetic protein FliR	Bacterial export proteins, family 1
CBNIABCL_02471	 Flagellar biosynthetic protein FlhB	LFTS_00218	 flagellar biosynthetic protein FlhB	Required for formation of the rod structure in the basal body of the flagellar apparatus. Together with FliI and FliH, may constitute the export apparatus of flagellin
CBNIABCL_02470	 Flagellar biosynthesis protein FlhA	LFTS_00219	 flagellar biosynthesis protein FlhA	Required for formation of the rod structure of the flagellar apparatus. Together with FliI and FliH, may constitute the export apparatus of flagellin
CBNIABCL_02469	 Flagellar biosynthesis protein FlhF	LFTS_00220	 flagellar biosynthesis protein FlhF	SRP54-type protein, GTPase domain
CBNIABCL_02468	 Flagellum site-determining protein YlxH	LFTS_00221	 flagellar biosynthesis protein FlhG	Cellulose biosynthesis protein BcsQ
CBNIABCL_02467	 RNA polymerase sigma factor FliA	LFTS_00222	 RNA polymerase sigma factor for flagellar operon FliA	Sigma-70, region 4
CBNIABCL_02466	 putative biofilm formation methyltransferase WspC	LFTS_00223	 chemotaxis protein methyltransferase CheR	Methylation of the membrane-bound methyl-accepting chemotaxis proteins (MCP) to form gamma-glutamyl methyl ester residues in MCP
CBNIABCL_02465	 Chemotaxis protein CheY	LFTS_00224	 two-component system, chemotaxis family, response regulator CheY	cheY-homologous receiver domain
CBNIABCL_02464	 Chemotaxis protein CheA	LFTS_00225	 two-component system, chemotaxis family, sensor kinase CheA	Evidence 2a Function of homologous gene experimentally demonstrated in an other organism
CBNIABCL_02463	 Chemotaxis response regulator protein-glutamate methylesterase	LFTS_00226	 two-component system, chemotaxis family, response regulator CheB	catalyzes the demethylation of specific methylglutamate residues introduced into the chemoreceptors (methyl-accepting chemotaxis proteins) by CheR
CBNIABCL_02462	 Methyl-accepting chemotaxis protein McpP	LFTS_00227	 methyl-accepting chemotaxis protein	Methyl-accepting chemotaxis protein
CBNIABCL_02461	 Chemotaxis protein CheW	LFTS_00228	 purine-binding chemotaxis protein CheW	Evidence 2a Function of homologous gene experimentally demonstrated in an other organism
CBNIABCL_02460	 Chemotaxis protein PomA	LFTS_00229	 chemotaxis protein MotA	MotA/TolQ/ExbB proton channel family
CBNIABCL_02459	 Motility protein B	LFTS_00230	 chemotaxis protein MotB	Membrane MotB of proton-channel complex MotA/MotB
CBNIABCL_02458	 hypothetical protein	LFTS_00231	 hypothetical protein	 Not found 
CBNIABCL_02457	 hypothetical protein	LFTS_00232	 hypothetical protein	 Not found 
CBNIABCL_02456	 hypothetical protein	LFTS_00233	 hypothetical protein	 Not found 
CBNIABCL_02455	 Flagellar biosynthetic protein FlhB	LFTS_00234	 flagellar biosynthesis protein	bacterial-type flagellum assembly
CBNIABCL_02454	 putative oxidoreductase	LFTS_00235	 3-oxoacyl-[acyl-carrier protein] reductase	Belongs to the short-chain dehydrogenases reductases (SDR) family
CBNIABCL_02453	 hypothetical protein	LFTS_00236	 hypothetical protein	 Not found 
CBNIABCL_02452	 hypothetical protein	LFTS_00237	 hypothetical protein	 Not found 
CBNIABCL_02451	 hypothetical protein	LFTS_00238	 hypothetical protein	 Not found 
CBNIABCL_02450	 hypothetical protein	LFTS_00239	 hypothetical protein	 Not found 
CBNIABCL_02449	 hypothetical protein	LFTS_00240	 hypothetical protein	 Not found 
CBNIABCL_02448	 LL-diaminopimelate aminotransferase	LFTS_00241	 LL-diaminopimelate aminotransferase apoenzyme	Aminotransferase class I and II
CBNIABCL_02447	 hypothetical protein	LFTS_00242	 2-amino-4-hydroxy-6- hydroxymethyldihydropteridine diphosphokinase	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase
CBNIABCL_02445	 hypothetical protein	LFTS_00243	 Tetratricopeptide repeat-containing protein	 Not found 
CBNIABCL_02444	 Adenine DNA glycosylase	LFTS_00244	 A/G-specific DNA-adenine glycosylase	FES
CBNIABCL_02443	 Ycf48-like protein	LFTS_00245	 hypothetical protein	cellulose binding
CBNIABCL_02442	 hypothetical protein	LFTS_00246	 hypothetical protein	Domain of unknown function (DUF3332)
CBNIABCL_02441	 hypothetical protein	LFTS_00247	 YtxH-like protein	 Not found 
CBNIABCL_02440	 hypothetical protein	LFTS_00248	 hypothetical protein	 Not found 
CBNIABCL_02439	 hypothetical protein	LFTS_00249	 NitT/TauT family transport system permease protein	Binding-protein-dependent transport system inner membrane component
CBNIABCL_02437	 Aliphatic sulfonates import ATP-binding protein SsuB	LFTS_00250	 NitT/TauT family transport system ATP-binding protein	ABC transporter
CBNIABCL_02436	 hypothetical protein	LFTS_00251	 NitT/TauT family transport system ATP-binding protein	C-terminal AAA-associated domain
CBNIABCL_02435	 hypothetical protein	LFTS_00252	 hypothetical protein	 Not found 
CBNIABCL_02434	 DNA processing protein DprA	LFTS_00253	 DNA processing protein	DNA recombination-mediator protein A
CBNIABCL_02433	 DNA topoisomerase 1	LFTS_00254	 DNA topoisomerase-1	Releases the supercoiling and torsional tension of DNA, which is introduced during the DNA replication and transcription, by transiently cleaving and rejoining one strand of the DNA duplex. Introduces a single-strand break via transesterification at a target site in duplex DNA. The scissile phosphodiester is attacked by the catalytic tyrosine of the enzyme, resulting in the formation of a DNA-(5'-phosphotyrosyl)-enzyme intermediate and the expulsion of a 3'-OH DNA strand. The free DNA strand then undergoes passage around the unbroken strand, thus removing DNA supercoils. Finally, in the religation step, the DNA 3'-OH attacks the covalent intermediate to expel the active-site tyrosine and restore the DNA phosphodiester backbone
CBNIABCL_02431	 Methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase TrmFO	LFTS_00255	 methylenetetrahydrofolate--tRNA-(uracil-5-)- methyltransferase	Catalyzes the folate-dependent formation of 5-methyl- uridine at position 54 (M-5-U54) in all tRNAs
CBNIABCL_02430	 Tyrosine recombinase XerD	LFTS_00256	 integrase/recombinase XerC	Phage integrase, N-terminal SAM-like domain
CBNIABCL_02429	 ATP-dependent protease subunit HslV	LFTS_00257	 HslV component of HslUV peptidase. Threonine peptidase. MEROPS family T01B	Protease subunit of a proteasome-like degradation complex believed to be a general protein degrading machinery
CBNIABCL_02428	 ATP-dependent protease ATPase subunit HslU	LFTS_00258	 ATP-dependent HslUV protease ATP-binding subunit HslU	this subunit has chaperone activity. The binding of ATP and its subsequent hydrolysis by HslU are essential for unfolding of protein substrates subsequently hydrolyzed by HslV. HslU recognizes the N-terminal part of its protein substrates and unfolds these before they are guided to HslV for hydrolysis
CBNIABCL_02427	 Acetylglutamate kinase	LFTS_00259	 N-acetylglutamate kinase	Belongs to the acetylglutamate kinase family. ArgB subfamily
CBNIABCL_02426	 hypothetical protein	LFTS_00260	 hypothetical protein	 Not found 
CBNIABCL_02425	 Deoxyuridine 5'-triphosphate nucleotidohydrolase	LFTS_00261	 dUTP pyrophosphatase	This enzyme is involved in nucleotide metabolism it produces dUMP, the immediate precursor of thymidine nucleotides and it decreases the intracellular concentration of dUTP so that uracil cannot be incorporated into DNA
CBNIABCL_02424	 Ribosomal RNA small subunit methyltransferase I	LFTS_00262	 16S rRNA (cytidine1402-2'-O)-methyltransferase	Catalyzes the 2'-O-methylation of the ribose of cytidine 1402 (C1402) in 16S rRNA
CBNIABCL_02423	 Pantothenate synthetase	LFTS_00263	 pantoate--beta-alanine ligase	Catalyzes the condensation of pantoate with beta-alanine in an ATP-dependent reaction via a pantoyl-adenylate intermediate
CBNIABCL_02422	 (R)-stereoselective amidase	LFTS_00264	 putative amidohydrolase	Carbon-nitrogen hydrolase
CBNIABCL_02421	 Transcriptional repressor FrmR	LFTS_00265	 DNA-binding transcriptional regulator, FrmR family	negative regulation of transcription, DNA-templated
CBNIABCL_02420	 Beta-barrel assembly-enhancing protease	LFTS_00266	 Tetratricopeptide repeat-containing protein	photosynthesis
CBNIABCL_02419	 hypothetical protein	LFTS_00267	 Putative MetA-pathway of phenol degradation	
CBNIABCL_02418	 hypothetical protein	LFTS_00268	 hypothetical protein	
CBNIABCL_02417	 hypothetical protein	LFTS_00269	 LTXXQ motif family protein	ATP-independent chaperone mediated protein folding
CBNIABCL_02416	 hypothetical protein	LFTS_00270	 hypothetical protein	 Not found 
CBNIABCL_02415	 hypothetical protein	LFTS_00271	 hypothetical protein	 Not found 
CBNIABCL_02414	 hypothetical protein	LFTS_00272	 hypothetical protein	 Not found 
CBNIABCL_02412	 hypothetical protein	LFTS_00274	 cytochrome	
CBNIABCL_02411	 hypothetical protein	LFTS_00275	 hypothetical protein	 Not found 
CBNIABCL_02370	 hypothetical protein	LFTS_00316	 hypothetical protein	 Not found 
CBNIABCL_02409	 putative MFS-type transporter	LFTS_00277	 putative arabinose efflux permease, MFS family	MFS_1 like family
CBNIABCL_02408	 Phenol hydroxylase P5 protein	LFTS_00278	 NAD(P)H-flavin reductase	Oxidoreductase FAD-binding domain
CBNIABCL_02407	 hypothetical protein	LFTS_00279	 hypothetical protein	 Not found 
CBNIABCL_02406	 hypothetical protein	LFTS_00280	 hypothetical protein	 Not found 
CBNIABCL_02405	 hypothetical protein	LFTS_00281	 Radical SAM superfamily protein	radical SAM domain protein
CBNIABCL_02404	 tRNA sulfurtransferase	LFTS_00282	 Thiamine biosynthesis protein (ThiI)	Thiamine biosynthesis protein (ThiI)
CBNIABCL_02403	 Heme-degrading monooxygenase HmoB	LFTS_00283	 Heme-degrading monooxygenase HmoA	heme oxygenase (decyclizing) activity
CBNIABCL_02402	 hypothetical protein	LFTS_00284	 hypothetical protein	 Not found 
CBNIABCL_02401	 hypothetical protein	LFTS_00285	 prevent-host-death family protein	Antitoxin component of a toxin-antitoxin (TA) module
CBNIABCL_02400	 hypothetical protein	LFTS_00286	 hypothetical protein	Toxic component of a toxin-antitoxin (TA) module. An RNase
CBNIABCL_02399	 hypothetical protein	LFTS_00287	 hypothetical protein	 Not found 
CBNIABCL_02398	 hypothetical protein	LFTS_00288	 serine protease, ClpP class	Serine dehydrogenase proteinase
CBNIABCL_02397	 hypothetical protein	LFTS_00289	 Outer membrane protein beta-barrel domain protein	 Not found 
CBNIABCL_02396	 Holliday junction ATP-dependent DNA helicase RuvB	LFTS_00290	 Holliday junction DNA helicase subunit RuvB	The RuvA-RuvB complex in the presence of ATP renatures cruciform structure in supercoiled DNA with palindromic sequence, indicating that it may promote strand exchange reactions in homologous recombination. RuvAB is a helicase that mediates the Holliday junction migration by localized denaturation and reannealing
